name;link;author;description;;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html; Над прірвою у житі;'[''Я.'', '' машин не люблю.'', '' Розумієш, мені нецікаво.'', '' Краще б я собі завів коня, чорт забирай.'', '' В конях хоч є щось людське.'', '' З конем хоч поговорити можна.'', ''Джером Девід Селінджер.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Жванецький Михайло Михайлович;'[''Не водіть машину швидше, ніж літає Ваш ангел-охоронець.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html; Понеділок починається в суботу;'[''А який сенс купувати машину, щоб їздити по асфальту?'', '' Там, де асфальт, нічого цікавого, а де цікаво, там немає асфальту.'', ''Аркадій і Борис Стругацькі.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Темний лицар (The Dark Knight);'[''— Візьмете Бетмобіль?'', ''— Ні.'', '' Надто помітно.'', ''— Ну тоді візьміть Ламборджині.'', '' Це.'', '' менш помітно.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Південний парк (South Park);'[''Ніколи не сідай в машину до незнайомих людей!'', '' Якщо це, звичайно, не лімузин.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Життя з Луї (Life with Louie);'[''Мій тато — геній.'', '' Він може взяти машину, яка майже не їздить, і зробити з неї машину, яка не їздить зовсім.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Skins;'[''Чия це машина?'', ''Не знаю, але у них непогана добірка рок-балад.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Жванецький Михайло Михайлович;'[''Будь-якого автомобіля вистачить до кінця життя, якщо їздити досить хвацько.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Губка Боб Квадратні Штани (SpongeBob SquarePants);'[''— Гей!'', '' Я думав, у тебе немає водійських прав!'', ''— Щоб водити сендвіч, права не потрібні.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Daria;'[''— Любиш кабріолети?'', ''— А у тебе кабріолет?'', ''— Ні, але дах прогнив наскрізь.'', ''— Майже кабріолет.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Серіал «Теорія великого вибуху | The Big Bang Theory»;'[''— За статистикою, поліцейські зупиняють червоні машини частіше, ніж машини будь-якого іншого кольору.'', '' Не хочу проблем з копами.'', ''— Гаразд, та який же ти хочеш колір?'', ''— Блідо-синій колір світлового меча Люка Скайуокера.'', '' Ну, до того, як його оцифрували, звичайно ж.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Генрі Форд;'[''Ви можете одержати «Форд-Т» будь-якого кольору, за умови, що цей колір буде чорним.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;КВК;'[''Цікавий факт — на сайті Автоваза немає розділу «коментарі».'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Ділан Моран;'[''Хаммер, так?'', '' Така велика повнопривідна чортівня.'', '' Це ж яким маленьким повинен бути член, щоб ви зайшли в автосалон і сказали: «Так, мені потрібно щось розміром зі школу».'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Марта Кетро;'[''Машина, вона як жінка.'', '' Справа не в тому, скільки вона жере, а в тому, скільки приносить насолоди!'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Фердинанд Порше;'[''Все почалося з того, що я озирнувся і, не побачивши автомобіля своєї мрії, вирішив сконструювати його сам.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Даун Хаус;'[''Поїхали, смерть моя люта, заводи бібіку.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Robert Lembke;'[''Найбільшу небезпеку на дорогах представляє машина, яка їде швидше, ніж здатний думати її водій.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Sid & Nancy;'[''Нафіга їй машина?'', '' У неї і так життя божевільне!'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html; Золоте теля;'[''Автомобіль, товариші, не розкіш, а засіб пересування!'', ''Остап Бендер.'']';;
